slabinfo - version: 2.1
# name            <active_objs> <num_objs> <objsize> <objperslab> <pagesperslab> : tunables <limit> <batchcount> <sharedfactor> : slabdata <active_slabs> <num_slabs> <sharedavail>
dm_bufio_buffer        1     26    152   26    1 : tunables    0    0    0 : slabdata      1      1      0
dm_bufio_buffer-4     66    100    160   25    1 : tunables    0    0    0 : slabdata      4      4      0
ext4_groupinfo_4k    140    312    208   39    2 : tunables    0    0    0 : slabdata      8      8      0
bio-3728              96     96   3776    8    8 : tunables    0    0    0 : slabdata     12     12      0
bio-3808             416    416   3840    8    8 : tunables    0    0    0 : slabdata     52     52      0
dm_verity_fec_buffers      8      8   4048    8    8 : tunables    0    0    0 : slabdata      1      1      0
dm_bufio_buffer        1     26    152   26    1 : tunables    0    0    0 : slabdata      1      1      0
dm_bufio_buffer        1     26    152   26    1 : tunables    0    0    0 : slabdata      1      1      0
dm_bufio_buffer-4    650    650    160   25    1 : tunables    0    0    0 : slabdata     26     26      0
bio-200             1360   1504    256   32    2 : tunables    0    0    0 : slabdata     47     47      0
bio-280             2117   2125    320   25    2 : tunables    0    0    0 : slabdata     85     85      0
f2fs_xattr_entry-8:8    234    234    208   39    2 : tunables    0    0    0 : slabdata      6      6      0
msb_kmem_cache        32     32    128   32    1 : tunables    0    0    0 : slabdata      1      1      0
scsi_sense_cache     352    448    128   32    1 : tunables    0    0    0 : slabdata     14     14      0
samsung-iommu-lv2table   1835   1888   1024   32    8 : tunables    0    0    0 : slabdata     59     59      0
samsung-iommu-lv1table     29     29 262144    1   64 : tunables    0    0    0 : slabdata     29     29      0
pcie-iommu-lv2table      0      0   2048   16    8 : tunables    0    0    0 : slabdata      0      0      0
fsverity_info        360    360    272   30    2 : tunables    0    0    0 : slabdata     12     12      0
fscrypt_info       15600  15600    136   30    1 : tunables    0    0    0 : slabdata    520    520      0
wakeup_irq_node_cache    128    128     32  128    1 : tunables    0    0    0 : slabdata      1      1      0
AF_VSOCK              22     22   1472   22    8 : tunables    0    0    0 : slabdata      1      1      0
bridge_fdb_cache       0      0    128   32    1 : tunables    0    0    0 : slabdata      0      0      0
nf-frags               0      0    200   20    1 : tunables    0    0    0 : slabdata      0      0      0
xfrm6_tunnel_spi       0      0    128   32    1 : tunables    0    0    0 : slabdata      0      0      0
ip6-frags              0      0    200   20    1 : tunables    0    0    0 : slabdata      0      0      0
fib6_nodes           288    288    128   32    1 : tunables    0    0    0 : slabdata      9      9      0
ip6_dst_cache        384    384    256   32    2 : tunables    0    0    0 : slabdata     12     12      0
